OriginalLat,OriginalLon,SnappedLat,SnappedLon,DeviationMeters,Timestamp,Speed,DeviceID,TrackingID,UserID,ModeID,CauseID,KilometerPostID,FilePath,DistrictID,SecDiff,DistanceDiff,IsBreak
18.2143024,120.6037229,18.2143024,120.6037229,1.7976931348623157E+308,1/19/2026 9:30:54 AM,34,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.026548124322842,False
18.2142254,120.6036924,18.2142254,120.6036924,1.7976931348623157E+308,1/19/2026 9:30:55 AM,35,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,9.14801394905477,False
18.2141409,120.603659,18.2141409,120.603659,1.7976931348623157E+308,1/19/2026 9:30:56 AM,35,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,10.036424595972003,False
18.2140552,120.6036272,18.2140552,120.6036272,1.7976931348623157E+308,1/19/2026 9:30:57 AM,37,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,10.104023437604543,False
18.2139622,120.6035864,18.2139622,120.6035864,1.7976931348623157E+308,1/19/2026 9:30:58 AM,39,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,11.203134480951558,False
18.2138619,120.6035542,18.2138619,120.6035542,1.7976931348623157E+308,1/19/2026 9:30:59 AM,40,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,11.659907428630294,False
18.2137657,120.6035171,18.2137657,120.6035171,1.7976931348623157E+308,1/19/2026 9:31:00 AM,40,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,K0489,null,18,1,11.392125065584196,False
18.2136699,120.603475,18.2136699,120.603475,1.7976931348623157E+308,1/19/2026 9:31:01 AM,41,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,11.543347729049321,False
18.2135715,120.6034447,18.2135715,120.6034447,1.7976931348623157E+308,1/19/2026 9:31:02 AM,40,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,11.400033335659824,False
18.2134693,120.6034044,18.2134693,120.6034044,1.7976931348623157E+308,1/19/2026 9:31:03 AM,43,b8,174544-1768743711778-1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b-3,1c1e3da9-2dd3-4135-a5c5-ffa5fce7f49b,1,0,null,null,18,1,12.135166243552103,False
